+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; fpu|fpu_convert_float_integer_inst                                                                                                                                        ; 35    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|cmpr4|auto_generated                                                                                         ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|add_sub8|auto_generated                                                                                      ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|add_sub7|auto_generated                                                                                      ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|add_sub6|auto_generated                                                                                      ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|add_sub3|auto_generated                                                                                      ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|add_sub1|auto_generated                                                                                      ; 62    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14|altpriority_encoder16  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14|altpriority_encoder15  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14                        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13|altpriority_encoder16  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13|altpriority_encoder15  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13                        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18                                              ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20|altpriority_encoder16  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20|altpriority_encoder15  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20                        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19|altpriority_encoder22  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19|altpriority_encoder21  ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19                        ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17                                              ; 8     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder9                                                                    ; 16    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14|altpriority_encoder16 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14|altpriority_encoder15 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13|altpriority_encoder16 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13|altpriority_encoder15 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12                                             ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14|altpriority_encoder16 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14|altpriority_encoder15 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13|altpriority_encoder16 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13|altpriority_encoder15 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11                                             ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2|altpriority_encoder10                                                                   ; 16    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altpriority_encoder2                                                                                         ; 32    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component|altbarrel_shift5                                                                                             ; 40    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst|fpu_convert_altfp_convert_hvn_component                                                                                                              ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_convert_inst                                                                                                                                                      ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|add_sub3|auto_generated                                                                                               ; 46    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|add_sub1|auto_generated                                                                                               ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub9|auto_generated                                                                               ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub8|auto_generated                                                                               ; 14    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub7|auto_generated                                                                               ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub6|auto_generated                                                                               ; 10    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub5|auto_generated                                                                               ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub4|auto_generated                                                                               ; 6     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub28|auto_generated                                                                              ; 48    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub27|auto_generated                                                                              ; 46    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub26|auto_generated                                                                              ; 44    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub25|auto_generated                                                                              ; 42    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub24|auto_generated                                                                              ; 40    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub23|auto_generated                                                                              ; 38    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub22|auto_generated                                                                              ; 36    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub21|auto_generated                                                                              ; 34    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub20|auto_generated                                                                              ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub19|auto_generated                                                                              ; 30    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub18|auto_generated                                                                              ; 28    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub17|auto_generated                                                                              ; 26    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub16|auto_generated                                                                              ; 28    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub15|auto_generated                                                                              ; 28    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub14|auto_generated                                                                              ; 26    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub13|auto_generated                                                                              ; 24    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub12|auto_generated                                                                              ; 22    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub11|auto_generated                                                                              ; 20    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2|add_sub10|auto_generated                                                                              ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component|alt_sqrt_block2                                                                                                       ; 29    ; 2              ; 0            ; 2              ; 25     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst|fpu_sqrt_altfp_sqrt_sef_component                                                                                                                       ; 35    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_sqrt_inst                                                                                                                                                         ; 35    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst|fpu_compare_altfp_compare_0uc_component|cmpr4|auto_generated                                                                                         ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst|fpu_compare_altfp_compare_0uc_component|cmpr3|auto_generated                                                                                         ; 16    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst|fpu_compare_altfp_compare_0uc_component|cmpr2|auto_generated                                                                                         ; 16    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst|fpu_compare_altfp_compare_0uc_component|cmpr1|auto_generated                                                                                         ; 16    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst|fpu_compare_altfp_compare_0uc_component                                                                                                              ; 67    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_compare_inst                                                                                                                                                      ; 67    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|remainder_mult_0|auto_generated                                                                           ; 54    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|q_partial_1|auto_generated                                                                                ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|q_partial_0|auto_generated                                                                                ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|b1_prod|auto_generated                                                                                    ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|a1_prod|auto_generated                                                                                    ; 38    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|cmpr2|auto_generated                                                                                      ; 46    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fpu|fpu_div_inst|fpu_div_altfp_div_bnm_component|altfp_div_pst1|remainder_sub_0|auto_generated                                                                            ; 100   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
